"id_cid10","classificacao","observacao"
X6,Conduta autolesiva,Auto-intoxicação intencional
X7,Conduta autolesiva,Lesão autoprovocada intencionalmente
X80,Conduta autolesiva,Lesão autoprovocada intencionalmente
X81,Conduta autolesiva,Lesão autoprovocada intencionalmente
X82,Conduta autolesiva,Lesão autoprovocada intencionalmente
X83,Conduta autolesiva,Lesão autoprovocada intencionalmente
X84,Conduta autolesiva,Lesão autoprovocada intencionalmente
Y870,Conduta autolesiva,Seqüelas de lesões autoprovocadas intencionalmente
F1,Álcool e outras drogas,Transtornos mentais e comportamentais devido ao uso de substâncias
T40,Álcool e outras drogas,Intoxicação por narcóticos e psicodislépticos (alucinógenos)
R78,Álcool e outras drogas,Presença de drogas e de outras substâncias normalmente não encontradas no sangue
Y90,Álcool e outras drogas,Evidência de Alcoolismo Determinada Por Taxas de Alcoolemia
Y91,Álcool e outras drogas,Evidência de Alcoolismo Determinada Pelo Nível da Intoxicação
F2,Transtornos,Esquizofrenia e transtornos esquizotípicos e delirantes
F3,Transtornos,Transtornos do humor
F4,Transtornos,"Transtornos neuróticos, relacionados com o stress e somatoformes"
F5,Transtornos,Síndromes comportamentais relacionadas a disfunções fisiológicas e fatores físicos
F6,Transtornos,Transtornos de personalidade e do comportamento adulto
F7,Transtornos,Retardo mental
F8,Transtornos,Transtornos do desenvolvimento psicológico
F90,Transtornos,Transtornos hipercinéticos
F91,Transtornos,Distúrbios de conduta
F92,Transtornos,Transtornos mistos de conduta e das emoções
F93,Transtornos,Transtornos emocionais com início na infância
F94,Transtornos,Transtornos do funcionamento social com início na infância ou na adolescência
F95,Transtornos,Tiques
F98,Transtornos,Outros transtornos comportamentais e emocionais com início na infância ou adolescência
F99,Transtornos,Transtorno mental não especificado
