"desfecho_id_sihsus","desfecho_grupo_descricao"
"11","Alta"
"12","Alta"
"14","Alta"
"15","Alta"
"16","Alta"
"18","Alta"
"19","Alta"
"21","Permanência"
"22","Permanência"
"23","Permanência"
"24","Permanência"
"25","Permanência"
"26","Permanência"
"27","Permanência"
"28","Permanência"
"29","Transferência"
"32","Transferência"
"31","Transferência"
"41","Óbito"
"42","Óbito"
"43","Óbito"
"51","Encerramento administrativo"
"61","Alta"
"62","Alta"
"63","Alta"
"64","Alta"
"13","Alta"
"17","Alta"
"65","Óbito"
"66","Óbito"
"67","Óbito"
